,text_title,event_id,start_page_event,page_event_number,text_place_title,character_id,family_name,given_name,page_first_mentioned,number,religion,relig_att_char,country_of_birth,place_name,location_religion,relig_att_loc,geolocation,location_name,location_country,author_birth_location,country_of_birth_author,text_place_id,location_id,author_id,author_birth_place_id,full_name,event_order,initial_country,final_country,initial_place,final_place,has_changed,has_immigrated
65,Pinjar,385,21,2,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Rashida,21.02,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
66,Pinjar,387,21,3,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Rashida,21.03,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
67,Pinjar,387,21,3,Rashida's home in Pinjar,368.0,Unknown,Midwife,20.0,Single,Unknown,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown Midwife,21.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
68,Pinjar,387,21,3,Rashida's home in Pinjar,445.0,Shaikh,Javed,21.0,Single,Muslim,,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Javed,21.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
69,Pinjar,389,22,2,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,22.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
70,Pinjar,390,22,3,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,22.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
71,Pinjar,390,22,3,Rashida's home in Pinjar,445.0,Shaikh,Javed,21.0,Single,Muslim,,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Javed,22.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
72,Pinjar,391,22,1,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,22.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
73,Pinjar,391,22,1,Rashida's home in Pinjar,445.0,Shaikh,Javed,21.0,Single,Muslim,,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Javed,22.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
74,Pinjar,396,23,2,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110.0,35,36,Sahukars Pooro,23.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
75,Pinjar,398,23,3,Well in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Well,Muslim,,CREATED,Sakar Village: Well,Pakistan,Mandi Bahauddin,Pakistan,397,3116.0,35,36,Sahukars Pooro,23.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
76,Pinjar,401,23,4,Well in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Well,Muslim,,CREATED,Sakar Village: Well,Pakistan,Mandi Bahauddin,Pakistan,397,3116.0,35,36,Sahukars Pooro,23.04,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
77,Pinjar,401,23,4,Well in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Well,Muslim,,CREATED,Sakar Village: Well,Pakistan,Mandi Bahauddin,Pakistan,397,3116.0,35,36,Unknown Kammo,23.04,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
78,Pinjar,402,23,1,Well in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Well,Muslim,,CREATED,Sakar Village: Well,Pakistan,Mandi Bahauddin,Pakistan,397,3116.0,35,36,Sahukars Pooro,23.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
79,Pinjar,402,23,1,Well in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Well,Muslim,,CREATED,Sakar Village: Well,Pakistan,Mandi Bahauddin,Pakistan,397,3116.0,35,36,Unknown Kammo,23.01,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
80,Pinjar,403,24,1,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110.0,35,36,Sahukars Pooro,24.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
81,Pinjar,403,24,1,Field in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110.0,35,36,Unknown Kammo,24.01,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
82,Sunlight on a Broken Column,404,156,2,"Lucknow, India in Sunlight on a Broken Column",374.0,Police,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Police Unknown,156.02,India,India,Lucknow University,Lucknow University,False,False
83,Sunlight on a Broken Column,404,156,2,"Lucknow, India in Sunlight on a Broken Column",341.0,Viceroy,Unknown,156.0,Single,Christian,Speculation,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Viceroy Unknown,156.02,India,India,Lucknow University,Lucknow University,False,False
84,Sunlight on a Broken Column,404,156,2,"Lucknow, India in Sunlight on a Broken Column",405.0,School-children,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,School-children Unknown,156.02,India,India,Lucknow University,Lucknow University,False,False
85,Sunlight on a Broken Column,404,156,2,"Lucknow, India in Sunlight on a Broken Column",406.0,Onlookers,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Onlookers Unknown,156.02,India,India,Lucknow University,Lucknow University,False,False
86,Sunlight on a Broken Column,404,156,2,"Lucknow, India in Sunlight on a Broken Column",408.0,Paid men,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Paid men Unknown,156.02,India,India,Lucknow University,Lucknow University,False,False
88,Sunlight on a Broken Column,411,156,3,"Lucknow, India in Sunlight on a Broken Column",321.0,Hasan,Hamid,84.0,Single,Muslim,Self-identified,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Hasan Hamid,156.03,India,India,Lucknow University,Lucknow University,False,False
89,Sunlight on a Broken Column,411,156,3,"Lucknow, India in Sunlight on a Broken Column",417.0,University Authorities,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,University Authorities Unknown,156.03,India,India,Lucknow University,Lucknow University,False,False
90,Sunlight on a Broken Column,411,156,3,"Lucknow, India in Sunlight on a Broken Column",418.0,Student-leaders,Unknown,156.0,Group,Unknown,,,"Lucknow, India",Unknown|Unaffiliated,,CREATED,Lucknow University,India,Lucknow,India,370,22.0,21,5819,Student-leaders Unknown,156.03,India,India,Lucknow University,Lucknow University,False,False
91,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,341.0,Viceroy,Unknown,156.0,Single,Christian,Speculation,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Viceroy Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
92,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,422.0,Governor,Unknown,157.0,Single,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Governor Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
93,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,423.0,Professors,Unknown,157.0,Group,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Professors Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
94,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,374.0,Police,Unknown,156.0,Group,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Police Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
95,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,424.0,Proctors,Unknown,157.0,Group,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Proctors Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
96,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,426.0,Students,Unknown,157.0,Group,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Students Unknown,157.01,India,India,Lucknow University,Hasanpur,False,False
97,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,318.0,Hasan,Zahra,14.0,Single,Muslim,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Hasan Zahra,157.01,India,India,Lucknow University,Lucknow University,False,False
98,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,316.0,Hasan,Majida,14.0,Single,Muslim,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Hasan Majida,157.01,India,India,Lucknow University,Lucknow University,False,False
99,Sunlight on a Broken Column,419,157,1,University in Sunlight on a Broken Column,429.0,Principal,Unknown,158.0,Single,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Principal Unknown,157.01,India,India,Lucknow University,Lucknow University,False,False
106,Sunlight on a Broken Column,430,158,1,University in Sunlight on a Broken Column,431.0,Chatterjee,Nita,123.0,Single,Hindu,Nominal,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Chatterjee Nita,158.01,India,India,Lucknow University,Hostel,False,False
107,Sunlight on a Broken Column,430,158,1,University in Sunlight on a Broken Column,433.0,Waheed,Nadira,125.0,Single,Muslim,Nominal,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Waheed Nadira,158.01,India,India,Lucknow University,Lucknow University,False,False
108,Sunlight on a Broken Column,430,158,1,University in Sunlight on a Broken Column,434.0,Davis,Joan,126.0,Single,Christian,Nominal,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Davis Joan,158.01,India,India,Lucknow University,Hostel,False,False
109,Sunlight on a Broken Column,430,158,1,University in Sunlight on a Broken Column,317.0,Hasan,Laila,14.0,Single,Muslim,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Hasan Laila,158.01,India,India,Lucknow University,Hasanpur,False,False
110,Sunlight on a Broken Column,430,158,1,University in Sunlight on a Broken Column,435.0,Unknown,Romana,159.0,Single,Unknown,,,University,Unknown,,CREATED,Lucknow University,India,Lucknow,India,427,22.0,21,5819,Unknown Romana,158.01,India,India,Lucknow University,Hostel,False,False
111,Pinjar,437,25,2,Field in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110.0,35,36,Unknown Kammo,25.02,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
112,Pinjar,437,25,2,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110.0,35,36,Sahukars Pooro,25.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
115,Pinjar,447,25,3,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,25.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
116,Pinjar,447,25,3,Rashida's home in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown Kammo,25.03,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
117,Pinjar,447,25,3,Rashida's home in Pinjar,445.0,Shaikh,Javed,21.0,Single,Muslim,,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Javed,25.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
118,Pinjar,449,25,4,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,25.04,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
119,Pinjar,449,25,4,Rashida's home in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown Kammo,25.04,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
120,Pinjar,450,26,1,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,26.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
121,Pinjar,450,26,1,Rashida's home in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown Kammo,26.01,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
122,Pinjar,451,27,2,Rashida's home in Pinjar,399.0,Unknown,Kammo,23.0,Single,Hindu,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown Kammo,27.02,Pakistan,Pakistan,Sakar Village: Well,Sakar Village: Rashid's Home,False,False
123,Pinjar,451,27,2,Rashida's home in Pinjar,443.0,Kammo’s Aunt,Unknown,25.0,Single,Hindu,Speculation,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Kammo’s Aunt Unknown,27.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Sakar Village: Rashid's Home,False,False
124,Pinjar,451,27,2,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,27.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
125,Pinjar,457,27,3,Rahima's house in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rahima's house,Muslim,,CREATED,Sakar Village: Rahima's Home,Pakistan,Mandi Bahauddin,Pakistan,458,3115.0,35,36,Sahukars Pooro,27.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
126,Pinjar,457,27,3,Rahima's house in Pinjar,455.0,Rahima's Wives,Unknown,27.0,Group.Female-dominant,Muslim,Speculation,,Rahima's house,Muslim,,CREATED,Sakar Village: Rahima's Home,Pakistan,Mandi Bahauddin,Pakistan,458,3115.0,35,36,Rahima's Wives Unknown,27.03,Pakistan,Pakistan,Sakar Village: Rahima's Home,Sakar Village: Rahima's Home,False,False
168,Pinjar,524,36,2,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Shaikh Rashida,36.02,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
169,Pinjar,524,36,2,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,36.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
170,Pinjar,524,36,2,Rashida's home in Pinjar,519.0,Unknown,mad-woman's child,35.0,Single,Unknown,,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Unknown mad-woman's child,36.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Rattoval Village,False,False
171,Pinjar,525,36,3,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114.0,35,36,Sahukars Pooro,36.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
